timestamp,downloads
2026-06-20T15:41:19Z,1508
2026-06-20T17:18:18Z,1509
2026-06-20T19:13:41Z,1511
2026-06-20T21:08:02Z,1516
2026-06-20T23:00:20Z,1518
2026-06-21T02:56:54Z,1524
2026-06-21T07:58:35Z,1528
2026-06-21T11:17:42Z,1537
2026-06-21T13:52:29Z,1544
2026-06-21T15:46:57Z,1547
2026-06-21T17:21:31Z,1548
2026-06-21T19:19:33Z,1550
2026-06-21T21:07:00Z,1552
2026-06-21T23:04:11Z,1552
2026-06-22T02:59:30Z,1555
2026-06-22T09:15:17Z,1563
2026-06-22T15:14:50Z,1565
2026-06-22T19:19:33Z,1571
2026-06-22T21:56:37Z,1574
2026-06-22T23:16:40Z,1577
2026-06-23T02:34:35Z,1581
2026-06-23T06:42:31Z,1584
2026-06-23T10:30:49Z,1588
2026-06-23T13:38:55Z,1590
2026-06-23T16:23:13Z,1593
2026-06-23T19:06:00Z,1597
2026-06-23T21:25:51Z,1600
2026-06-23T23:02:07Z,1601
2026-06-24T02:35:13Z,1608
2026-06-24T06:39:24Z,1611
2026-06-24T10:15:39Z,1614
2026-06-24T13:13:31Z,1619
2026-06-24T16:11:41Z,1623
2026-06-24T18:28:36Z,1626
2026-06-24T20:29:39Z,1632
2026-06-24T22:10:30Z,1633
2026-06-25T00:01:26Z,1638
2026-06-25T04:58:23Z,1643
2026-06-25T08:24:03Z,1647
2026-06-25T11:34:10Z,1654
2026-06-25T14:08:56Z,1658
2026-06-25T17:05:42Z,1664
2026-06-25T19:48:15Z,1668
2026-06-25T21:24:46Z,1670
2026-06-25T23:10:33Z,1672
2026-06-26T02:39:26Z,1677
